brand,price,car_seller,year,miles,engine_vol,transmission,fuel_type,residuals
Audi,16800.0,BMWorld,2016.0,11950.0,1.4,manual,petrol,2124.404115832018
Audi,16899.0,Cannock,2018.0,30335.0,1.5,manual,petrol,-2210.2552074089363
Audi,16900.0,BMWorld,2018.0,26558.0,1.5,manual,petrol,
Audi,16998.0,C&C,2016.0,33646.0,1.4,automatic,petrol,1971.0941978800838
Audi,16999.0,Cazoo,2017.0,44601.0,1.4,manual,petrol,3195.967194635332
Audi,17199.0,Cazoo,2017.0,19828.0,1.5,manual,petrol,316.35903938850606
Audi,17399.0,Fords_of_Winsford,2018.0,21570.0,1.5,automatic,petrol,-3949.325288678305
Audi,17700.0,BMWorld,2017.0,40194.0,1.5,manual,petrol,2353.812019098461
Audi,17700.0,Marshall,2016.0,22888.0,1.4,manual,petrol,3515.867840242179
Audi,17700.0,BMWorld,2018.0,29953.0,1.5,manual,petrol,
Audi,17800.0,Hilton,2018.0,35000.0,1.5,manual,petrol,
Audi,17800.0,BMWorld,2017.0,33918.0,1.4,automatic,petrol,937.9158757225632
Audi,17950.0,BMWorld,2018.0,36921.0,1.5,automatic,petrol,-1739.4476259674593
Audi,18000.0,BMWorld,2019.0,15302.0,1.5,manual,petrol,-3715.408863574681
Audi,18049.0,Cazoo,2017.0,36645.0,1.5,automatic,petrol,
Audi,18299.0,Cazoo,2016.0,38536.0,1.4,automatic,petrol,4156.409650306756
Audi,18498.0,C&C,2019.0,42552.0,1.5,manual,petrol,-1151.6894628726368
Audi,18499.0,Cannock,2018.0,44269.0,1.5,manual,petrol,580.365320964931
Audi,18499.0,Cazoo,2018.0,37651.0,1.5,manual,petrol,1018.1482516575888
Audi,18550.0,BMWorld,2019.0,19549.0,1.5,manual,petrol,-2802.514835728747
Audi,18650.0,BMWorld,2018.0,20386.0,1.5,automatic,petrol,-2452.3161803416624
Audi,18849.0,Cazoo,2019.0,36164.0,1.5,automatic,petrol,-2822.5027911639263
Audi,18899.0,Cannock,2018.0,38059.0,1.5,manual,petrol,449.7385460829646
Audi,18900.0,Hilton,2018.0,37000.0,1.5,automatic,petrol,-1435.625124851027
